ID;UserID;timestamp;isVisible;version;changesetID;latitude;longitude;tags
N4149575693;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928671;-118.4760766;"[]"
N4153984703;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889882;-118.4700861;"[]"
N4158144430;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903151;-118.4641507;"[]"
N4149575692;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928659;-118.4757334;"[]"
N4153984704;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889897;-118.4703366;"[]"
N4158144431;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.990331;-118.4642491;"[]"
N4149575699;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928798;-118.4743047;"[]"
N4153984705;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889907;-118.4703601;"[]"
N4158144432;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903362;-118.4643511;"[]"
N4149575698;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928782;-118.4739635;"[]"
N4153984706;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889916;-118.470217;"[]"
N4158144433;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903527;-118.4643371;"[]"
N4149575697;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.9928737;-118.4757391;"[]"
N4153984707;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9889918;-118.4703462;"[]"
N4158144434;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903546;-118.4643446;"[]"
N4149575696;1586930;2016-04-26T15:43:05Z;true;1;38890998;33.992873;-118.4757742;"[]"
N4153984708;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9890078;-118.4703264;"[]"
N4158144435;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903575;-118.4644373;"[]"
N4153984709;1586930;2016-04-28T18:05:57Z;true;1;38960487;33.9890081;-118.4698797;"[]"
N4158144436;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903691;-118.4641215;"[]"
N4158144437;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903699;-118.4644445;"[]"
N4158144438;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903716;-118.4641306;"[]"
N4158144439;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9903899;-118.4645284;"[]"
N4149585010;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922206;-118.4731966;"[]"
N4149585012;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922229;-118.4732021;"[]"
N4149585011;1586930;2016-04-26T15:49:48Z;true;1;38891299;33.9922224;-118.4731939;"[]"
N4158144480;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905621;-118.4643074;"[]"
N4158144481;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905701;-118.4652901;"[]"
N4353617477;416346;2016-08-17T09:01:32Z;true;1;41507651;33.9965401;-118.4789476;"[]"
N4158144482;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905735;-118.4652989;"[]"
N4158144483;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905902;-118.4653722;"[]"
N4353617479;416346;2016-08-17T09:01:32Z;true;1;41507651;33.9965193;-118.478917;"[]"
N4158144484;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9906025;-118.4650733;"[]"
N4353617478;416346;2016-08-17T09:01:32Z;true;1;41507651;33.9964166;-118.4791838;"[]"
N4158144485;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9906099;-118.4644785;"[]"
N4158144486;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9906264;-118.4645464;"[]"
N4158144487;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9906269;-118.4654246;"[]"
N4158144488;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9906282;-118.4649092;"[]"
N4249375318;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9976499;-118.4661112;"[]"
N4249375319;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9977199;-118.4662148;"[]"
N4249375316;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9976137;-118.4660837;"[]"
N4249375317;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9976311;-118.4661473;"[]"
N4249375314;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9975831;-118.4659864;"[]"
N4249375315;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9975978;-118.4661141;"[]"
N4249375313;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9975395;-118.4660699;"[]"
N4158144460;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905222;-118.4647298;"[]"
N4158144461;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905255;-118.4642846;"[]"
N4158144462;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905256;-118.4644289;"[]"
N4158144463;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905258;-118.4647439;"[]"
N4158144464;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905271;-118.4651003;"[]"
N4249375320;3851440;2016-06-17T22:45:06Z;true;1;40106512;33.9977665;-118.4661256;"[]"
N4158144465;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905295;-118.464375;"[]"
N4158144466;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905332;-118.4651367;"[]"
N4158144467;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905333;-118.4645251;"[]"
N4158144468;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905336;-118.4643178;"[]"
N4158144469;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905368;-118.4644757;"[]"
N4158144470;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905383;-118.464269;"[]"
N4158144471;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905401;-118.4642764;"[]"
N4158144472;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905418;-118.4645604;"[]"
N4158144473;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905427;-118.4645019;"[]"
N4158144474;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905464;-118.4651944;"[]"
N4158144475;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905471;-118.4645202;"[]"
N4158144476;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905518;-118.465212;"[]"
N4158144477;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905536;-118.4645563;"[]"
N4158144478;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905539;-118.4642748;"[]"
N4158144479;1427293;2016-04-30T19:28:52Z;true;1;39005128;33.9905576;-118.4645718;"[]"
N6807076967;10165657;2019-09-19T05:26:36Z;true;1;74652935;34.0121173;-118.4928132;"[]"
N4151835051;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968612;-118.4740555;"[]"
N4151835050;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968611;-118.4703393;"[]"
N4151835053;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968618;-118.4737659;"[]"
N4151835052;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968612;-118.4766185;"[]"
N4151835055;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.996863;-118.4766203;"[]"
N4151835054;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968621;-118.4712538;"[]"
N4151835057;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968638;-118.4709412;"[]"
N4151835056;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968633;-118.4737671;"[]"
N4151835048;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968593;-118.4709378;"[]"
N4151835047;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968591;-118.4757187;"[]"
N4151835049;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968604;-118.4705823;"[]"
N4151835062;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968674;-118.4750347;"[]"
N4151835061;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968674;-118.4720473;"[]"
N4151835064;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968681;-118.4739435;"[]"
N4151835063;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968675;-118.4737122;"[]"
N4151835066;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968687;-118.4734591;"[]"
N4151835065;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968686;-118.4712088;"[]"
N4151835068;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968709;-118.4741781;"[]"
N4151835067;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968694;-118.4727079;"[]"
N4151835060;1586930;2016-04-27T18:19:51Z;true;1;38928879;33.9968659;-118.4738637;"[]"
N559842580;703694;2020-05-26T07:16:06Z;true;3;85749688;33.9969621;-118.4706926;"[]"
N559842581;703694;2020-05-26T07:16:06Z;true;3;85749688;33.9966037;-118.4704365;"[]"
N559842582;703694;2020-05-26T07:16:06Z;true;3;85749688;33.9958969;-118.4698873;"[]"
